2026-06-28 12:10:27,448 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus trituber (B) - D.png
2026-06-28 12:10:27,448 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Onthophagus trituber (B) - D.png
2026-06-28 12:10:27,460 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus trituber (B) - L.png
2026-06-28 12:10:27,464 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus obscurior (J) - D.png
2026-06-28 12:10:27,464 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus obscurior (J) - L.png
2026-06-28 12:10:27,464 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus obscurior (B) - D.png
2026-06-28 12:10:27,464 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Onthophagus obscurior (B) - D.png
2026-06-28 12:10:27,480 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus obscurior (B) - L.png
2026-06-28 12:10:27,480 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus limbatus (J) - D.png
2026-06-28 12:10:27,480 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus limbatus (J) - L.png
2026-06-28 12:10:27,480 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus limbatus (B) - D.png
2026-06-28 12:10:27,480 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Onthophagus limbatus (B) - D.png
2026-06-28 12:10:27,496 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus limbatus (B) - L.png
2026-06-28 12:10:27,496 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus waterstradti (J) - D.png
2026-06-28 12:10:27,496 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus waterstradti (J) - L.png
2026-06-28 12:10:27,512 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus waterstradti (B) - D.png
2026-06-28 12:10:27,512 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Thumbs/Onthophagus waterstradti (B) - D.png
2026-06-28 12:10:27,512 [Thread-7] INFO com.cbit.lucid.player.export.PlayerExport - file exists, returning path: Images/Onthophagus waterstradti (B) - L.png
